"ecli","voorzitter_id","voorzitter_naam","voorzitter_start_date","experience_voorzitter_days","single_panel","single_judge","panel","griffier_naam","griffier_start_date","griffier_first_ecli","experience_griffier_days","griffier_no_of_cases","issued","id","institution","institution_cat","procedure_level","beroep","hoger_beroep","procedure_type","url","outcome","outcome_binary","gegrond","ongegrond","hand_checked",,"relative_experience","complexity_ecli_references","complexity_verdict_length","complexity_law_references","complexity_index","gender"
"ECLI:NL:RVS:2020:79","54af39de-eb7b-467d-8917-d8de8bbe4b62","E.J. Daalder",2017-09-30 22:00:00,836,"single",1,0,"W. Dijkshoorn",2013-05-01 00:00:00,"ECLI:NL:RVS:2013:BZ9715",2450,199,2020-01-15 00:00:00,"118403c9-c15e-4f2c-832d-d70573fdcf00","http://standaarden.overheid.nl/owms/terms/Raad_van_State","RVS","beroep",1,0,"http://psi.rechtspraak.nl/procedure#tussenuitspraakBestuurlijkeLus","https://uitspraken.rechtspraak.nl/inziendocument?id=ECLI:NL:RVS:2020:79&keyword=griffier","gegrond","gegrond",1,0,1,9955.0000,-1614,0,9157,1,10.157,"male"
"ECLI:NL:RVS:2020:1037","fc8fcefc-931f-49a8-9687-ef021d41d1d3","J. Hoekstra",2010-01-01 00:00:00,3751,"single",1,0,"D. Tieleman",2018-12-12 00:00:00,"ECLI:NL:RVS:2018:4078",484,29,2020-04-09 00:00:00,"2f4b910a-2db3-454f-baee-d65d81f44767","http://standaarden.overheid.nl/owms/terms/Raad_van_State","RVS","h_beroep",0,1,"http://psi.rechtspraak.nl/procedure#voorlopigeVoorziening","https://uitspraken.rechtspraak.nl/inziendocument?id=ECLI:NL:RVS:2020:1037&keyword=griffier","ongegrond","ongegrond",0,1,1,9955.0000,3267,0,8807,0,8.807,"male"
"ECLI:NL:CBB:2020:123","c0187987-470a-43d1-84d1-19a4310a8b6a","M. van Duuren",2005-01-25 23:00:00,5515,"single",1,0,"F. Willems",2018-12-18 00:00:00,"ECLI:NL:CBB:2018:675",441,71,2020-03-03 00:00:00,"444e512f-1a55-486d-affe-02a6bb155c96","http://standaarden.overheid.nl/owms/terms/College_van_Beroep_voor_het_bedrijfsleven","CBB","beroep",1,0,"http://psi.rechtspraak.nl/procedure#eersteAanlegEnkelvoudig","https://uitspraken.rechtspraak.nl/inziendocument?id=ECLI:NL:CBB:2020:123&keyword=griffier","gegrond","gegrond",1,0,1,9954.0000,5074,7,27327,0,34.327,"female"
"ECLI:NL:RVS:2020:1548","827bb29f-0ae9-4fc2-9c4b-e30f2461804a","C.H.M. van Altena",1983-11-30 22:59:59,13363,"single",1,0,"A.S. Sanchit-Premchand",2017-02-01 00:00:00,"ECLI:NL:RVS:2017:209",1247,80,2020-07-02 00:00:00,"257b860d-7b3c-4847-963a-cc5987ac9718","http://standaarden.overheid.nl/owms/terms/Raad_van_State","RVS","h_beroep",0,1,"http://psi.rechtspraak.nl/procedure#voorlopigeVoorziening","https://uitspraken.rechtspraak.nl/inziendocument?id=ECLI:NL:RVS:2020:1548&keyword=griffier","ongegrond","ongegrond",0,1,1,9954.0000,12116,0,13334,2,15.334,"female"
"ECLI:NL:RVS:2020:596","fc8fcefc-931f-49a8-9687-ef021d41d1d3","J. Hoekstra",2010-01-01 00:00:00,3708,"panel",0,1,"S. Niane-van de Put",2016-10-05 00:00:00,"ECLI:NL:RVS:2016:2601",1239,132,2020-02-26 00:00:00,"f3efabcc-4aae-48fe-b535-303ab1e3c4a2","http://standaarden.overheid.nl/owms/terms/Raad_van_State","RVS","h_beroep",0,1,"http://psi.rechtspraak.nl/procedure#hogerBeroep","https://uitspraken.rechtspraak.nl/inziendocument?id=ECLI:NL:RVS:2020:596&keyword=griffier","ongegrond","ongegrond",0,1,1,9953.0000,2469,0,7390,0,7.39,"male"
"ECLI:NL:CBB:2020:36","58e58426-c76d-4a47-85a2-25de9b1cbeed","H.L. van der Beek",1995-05-07 22:00:00,9017,"panel",0,1,"C.S. de Waal",2017-11-07 00:00:00,"ECLI:NL:CBB:2017:433",798,77,2020-01-14 00:00:00,"21f974ba-e8c6-41b5-ae8e-5543b5fcb1fe","http://standaarden.overheid.nl/owms/terms/College_van_Beroep_voor_het_bedrijfsleven","CBB","beroep",1,0,"http://psi.rechtspraak.nl/procedure#eersteAanlegMeervoudig","https://uitspraken.rechtspraak.nl/inziendocument?id=ECLI:NL:CBB:2020:36&keyword=griffier","ongegrond","ongegrond",0,1,1,9950.0000,8219,1,11199,0,12.199,"male"
"ECLI:NL:RBLIM:2020:5605","0a6de6cf-9ec4-42a8-b548-80bdf1f629be","A. Snijders",2017-09-30 22:00:00,1033,"single",1,0,"D.H.J. Laeven",2000-04-18 00:00:00,"ECLI:NL:RBMAA:2000:AA6190",7408,160,2020-07-30 00:00:00,"090ae5ff-d92b-481e-ac89-2f8559482fcb","http://standaarden.overheid.nl/owms/terms/Rechtbank_Limburg","RBLIM","beroep",1,0,"http://psi.rechtspraak.nl/procedure#eersteAanlegEnkelvoudig","https://uitspraken.rechtspraak.nl/inziendocument?id=ECLI:NL:RBLIM:2020:5605&keyword=griffier","ongegrond","ongegrond",0,1,1,9946.0000,-6375,1,5430,2,8.43,"male"
"ECLI:NL:RBNNE:2020:3839","6aa3d19e-2ddf-4447-a866-65dcc27d0500","R.L. Vucsán",2001-02-05 23:00:00,7216,"single",1,0,"S.I. Havinga",2011-09-22 00:00:00,"ECLI:NL:RBLEE:2011:BT2733",3336,47,2020-11-09 00:00:00,"99fa286c-d271-4780-850e-e318950e3857","http://standaarden.overheid.nl/owms/terms/Rechtbank_Noord-Nederland","RBNNE","beroep",1,0,"http://psi.rechtspraak.nl/procedure#voorlopigeVoorziening","https://uitspraken.rechtspraak.nl/inziendocument?id=ECLI:NL:RBNNE:2020:3839&keyword=griffier","ongegrond","ongegrond",0,1,1,9943.0000,3880,0,16330,5,21.33,"male"
"ECLI:NL:RVS:2020:191","83e1e090-07d5-4966-ae38-b92f5fed492b","N. Verheij",2011-05-01 00:00:00,3188,"single",1,0,"M.A. Nieuwenhuizen",2014-09-05 00:00:00,"ECLI:NL:RVS:2014:3371",1965,97,2020-01-22 00:00:00,"1c13c98c-cbb7-41e6-807a-c427eaad9ede","http://standaarden.overheid.nl/owms/terms/Raad_van_State","RVS","h_beroep",0,1,"http://psi.rechtspraak.nl/procedure#hogerBeroep","https://uitspraken.rechtspraak.nl/inziendocument?id=ECLI:NL:RVS:2020:191&keyword=griffier","gegrond","gegrond",1,0,1,9942.0000,1223,2,12046,7,21.046,"male"
"ECLI:NL:RVS:2020:2688","671621a4-bcaf-4b71-ab25-25e418e2ea34","J.E.M. Polak",2011-08-07 22:00:00,3383,"single",1,0,"M.J.G. Driessen",2012-06-06 00:00:00,"ECLI:NL:RVS:2012:BW7620",3080,129,2020-11-11 00:00:00,"9c07c49d-ed44-4c2c-ab83-f14a833a76fa","http://standaarden.overheid.nl/owms/terms/Raad_van_State","RVS","beroep",1,0,"http://psi.rechtspraak.nl/procedure#eersteAanlegEnkelvoudig","https://uitspraken.rechtspraak.nl/inziendocument?id=ECLI:NL:RVS:2020:2688&keyword=griffier","ongegrond","ongegrond",0,1,1,9940.0000,303,1,13094,0,14.094,"male"
